1A Average,Pay $CAD/hr
94,17.00
91,22.00
96,23.00
87,20.00
89,31.20
82,21.00
72,16.00
82,20.00
83,16.30
89,28.00
89,19.00
83,18.50
88,24.00
85,22.50
85,20.00
87,16.43
86,19.00
82,17.25
87,18.50
72,19.00
93,19.00
86,19.63
83,16.67
86,18.50
90,27.00
89,20.00
85,18.75
81,20.00
87,20.50
92,20.19
85,26.00
79,18.50
90,20.19
83,19.00
84,21.00
87,27.50
81,20.00
83,19.00
89,17.50
80,28.00
90,20.35
88,26.00
93,18.00
86,22.00
93,19.00
95,23.25
88,27.00
90,21.00
92,18.00
90,26.67
73,22.00
87,22.00
78,27.00
87,21.00
88,20.19
83,20.00
81,18.00
87,20.00
86,28.00
93,24.54
88,23.00
90,20.75
96,23.50
94,19.00
77,18.50
87,18.50
78,28.00
87,18.50
91,24.00
