1A Average,Pay $CAD/hr
<=80%,16
<=80%,19
<=80%,22
<=80%,18.5
<=80%,28
<=80%,27
<=80%,18.5
<=80%,28
81%-85%,20
81%-85%,20
81%-85%,18
81%-85%,20
81%-85%,17.25
81%-85%,21
81%-85%,16.67
81%-85%,16.3
81%-85%,19
81%-85%,19
81%-85%,20
81%-85%,18.5
81%-85%,21
81%-85%,22.5
81%-85%,20
81%-85%,26
81%-85%,18.75
86%-89%,28
86%-89%,22
86%-89%,18.5
86%-89%,19.63
86%-89%,19
86%-89%,16.43
86%-89%,20
86%-89%,18.5
86%-89%,20.5
86%-89%,27.5
86%-89%,22
86%-89%,21
86%-89%,20
86%-89%,18.5
86%-89%,18.5
86%-89%,26
86%-89%,24
86%-89%,20.19
86%-89%,27
86%-89%,23
86%-89%,17.5
86%-89%,31.2
86%-89%,28
86%-89%,19
86%-89%,20
>=90%,27
>=90%,20.19
>=90%,20.35
>=90%,21
>=90%,26.67
>=90%,20.75
>=90%,24
>=90%,22
>=90%,20.19
>=90%,18
>=90%,19
>=90%,18
>=90%,19
>=90%,24.54
>=90%,17
>=90%,19
>=90%,23.25
>=90%,23
>=90%,23.5
