What do you identify as?,Which better describes your parents?,Were either of your parents in STEM?,What is the highest level of education that either of your parents achieved?,What is your average household income (CAD) in 2021?,What was your high school admission average? [Top 6: including prerequisites!],Which extracurriculars did you do prior to coming to Waterloo? (Select all that apply),Were you part of any enrichment program in high school? (Select all that apply),Which of the following universities were among your top 3 programs that you applied to? (Select all that apply),Did you submit a video interview? ,How did you attend the majority of your last year of high school?,What format was your last year of high school in?,What is your University Average?,Final 1A Course Averages? [101],Final 1A Course Averages? [101L],Final 1A Course Averages? [111],Final 1A Course Averages? [113],Final 1A Course Averages? [121],Final 1A Course Averages? [161],Final 1A Course Averages? [181],Course Usefulness [101],Course Usefulness [101L],Course Usefulness [161],Course Usefulness [111],Course Usefulness [113],Course Usefulness [121],Course Usefulness [181],Course Difficulty [101],Course Difficulty [101L],Course Difficulty [161],Course Difficulty [111],Course Difficulty [113],Course Difficulty [121],Course Difficulty [181],Lectures Attended/Watched [101],Lectures Attended/Watched [101L],Lectures Attended/Watched [161],Lectures Attended/Watched [111],Lectures Attended/Watched [113],Lectures Attended/Watched [121],Lectures Attended/Watched [181],What percentage of live lectures/tutorials did you attend: [In-Person Synchronously],What percentage of live lectures/tutorials did you attend: [Online Synchronously],What percentage of live lectures/tutorials did you attend: [Online Asynchronously],Did your study habits improve over 1A?,Favourite Professor?,Least Favourite Professor?,Which round did you first get an interview in?,During which round did you accept your job?,Weirdest job interview question?,What kind of job did you accept?,What industry is your co-op in?,Are you happy with your co-op?,What is your pay? (CAD/hr),Did you participate in squydegame?,"If no, did you wish you did?",Did you help with the tagging of others?,Did you enjoy watching the action of the game?,Would you play next time?,What was your general stress level throughout the term?,"On average, how many hours of sleep do you get each night?",How many all-nighters did you pull this term?,How many days per week did you go outside?,Where did you live?,What percentage of the class could you name? (Intervals are in +10%),What percentage of your high school friends do you still keep in touch/are still friends with?,What percentage of your current friends are in SYDE?,Which of the following extracurriculars did you regularly (e.g. at least biweekly) engage in throughout the term? (Select all that apply),"Before coming to Waterloo, have you: [Drunk alcohol?]","Before coming to Waterloo, have you: [Smoked/Vaped?]","Before coming to Waterloo, have you: [Done drugs?]","Before coming to Waterloo, have you: [Had sex?]","Before coming to Waterloo, have you: [Had your first kiss?]","During 1A, did you: [Drink alcohol?]","During 1A, did you: [Smoke/Vape?]","During 1A, did you: [Do drugs?]","During 1A, did you: [Have sex?]","During 1A, did you: [Attend a university party?]","During 1A, did you: [Have your first kiss?]",How much did your rice purity score drop by between high school and the end of 1A? (You can check your rice purity score here: http://ricepuritytest.com/) Enter 0 if it did not drop.,How does your current experience with SYDE compare to what you expected it to be when you applied?,"Given the chance, would you apply to SYDE again?","If no, would you apply to another UW program instead? If so, enter the program you would apply to instead.",What is the biggest piece of advice/wisdom you would give to someone thinking about applying to SYDE?,What was your favourite assignment to complete?,"If you could describe 1A in one word, what would it be?"
Male,Native-born,No,Undergraduate,$150 - 200K,92,"Volunteer experience, Club Leader, Eng Job/Tech Internship",Private School,McMaster University,Yes,Hybrid,Semesters,,85 - 89%,75 - 79%,85 - 89%,70 - 74%,70 - 74%,70 - 74%,90 - 94%,4,6,5,5,5,2,5,5,4,5,,4,1 (Very Difficult),4,2,2,2,2,2,2,2,0 - 25%,0 - 25%,0 - 25%,Yes,Nasim Paryab,Ewen MacDonald,2nd Round,2nd Round,N/A,Product/Project Management,Government,Yes,16.5,No,No,,Yes,Maybe,4,7,2,7,"Normal living arrangements, did online learning",1,5,1,Syde Projects,Yes,No,No,No,Yes,No,No,No,No,No,No,0,4,Yes,,It won't be easy,101L Midterm,Hell
Female,Immigrants,Yes,Graduate,$100 - 150K,95,"Volunteer experience, Sports, Club, Club Leader, Non-Eng Job",IB,"McMaster University, Queen's University, Western University",No,Hybrid,Semesters,,90 - 94%,80 - 84%,85 - 89%,90 - 94%,70 - 74%,75 - 79%,95 - 99%,2,6,4,6,5,4,5,6,3,3,3,5,3,7 (Very Easy),1 (None or Nearly None),4,2,5,6,2,1 (None or Nearly None),0 - 25%,26 - 50%,51 - 75%,Yes,Sean Speziale,Jason Foster,2nd Round,2nd Round,,Software,,Yes,22,No,No,No,No,Maybe,5,8,3,6,Off-campus housing,3,5,1,,Yes,Yes,Yes,Yes,Yes,"Yes, done it before","Yes, done it before","Yes, done it before","Yes, done it before","Yes, done it before",No,,5,Yes,,,SYDE 101L Assignment 3,Alien
Female,Native-born,No,Undergraduate,$100 - 150K,94,"Volunteer experience, Club, Non-Eng Job",None,"McMaster University, Western University",Yes,Hybrid,Quadmesters,,90 - 94%,85 - 89%,90 - 94%,90 - 94%,80 - 84%,75 - 79%,95 - 99%,4,5,6,6,5,6,6,7 (Very Easy),6,3,2,4,4,7 (Very Easy),3,,1 (None or Nearly None),6,5,3,5,51 - 75%,51 - 75%,,Yes,Nasim Paryab,Matt Borland,1st Round,Continuous,,Product/Project Management,Engineering Consulting ,Yes,23,No,Yes,No,Yes,Yes,5,8,2,4,CMH,3,6,8,Hangouts with Friends,Yes,No,No,Yes,Yes,"Yes, done it before","Yes, for the first time","Yes, for the first time","Yes, done it before","Yes, for the first time","Yes, done it before",15,5,Yes,,,,
Male,Immigrants,Yes,Undergraduate,$150 - 200K,93,"Volunteer experience, Club, Club Leader, Non-Eng Job",IB,"Ottawa/Carleton University, University of British Columbia, University of Toronto",Yes,Fully in-person,Semesters,,80 - 84%,<60%,85 - 89%,85 - 89%,75 - 79%,75 - 79%,90 - 94%,1 (Very useless),4,5,4,3,6,3,7 (Very Easy),5,5,3,3,6,6,1 (None or Nearly None),1 (None or Nearly None),1 (None or Nearly None),1 (None or Nearly None),1 (None or Nearly None),1 (None or Nearly None),1 (None or Nearly None),0 - 25%,0 - 25%,0 - 25%,No,Christopher Nehaniv,Matt Borland,Continous,Continuous,,Software,Education,Yes,18,No,Yes,No,No,Maybe,5,6,0,3,"Normal living arrangements, did online learning",0,2,0,,Yes,No,No,No,No,No,No,No,No,No,No,0,3,Yes,,Don't ,None ,
Female,Immigrants,No,Undergraduate,$100 - 150K,94.5,"Volunteer experience, Religious Activity, Club, Club Leader, Non-Eng Job","AP, French Immersion","McMaster University, University of British Columbia, University of Toronto",Yes,Hybrid,Semesters,,80 - 84%,85 - 89%,70 - 74%,70 - 74%,85 - 89%,80 - 84%,95 - 99%,1 (Very useless),4,4,6,6,6,5,7 (Very Easy),6,6,2,3,3,6,1 (None or Nearly None),5,1 (None or Nearly None),6,4,2,2,51 - 75%,76 - 100%,26 - 50%,Yes,Jason Foster,Kate Mercer,Continous,Continuous,,Software,Banking/Financial,Yes,21,No,Yes,,,,4,7,0,5,CMH,7,4,2,Hangouts with Friends,No,No,No,No,No,"Yes, for the first time",No,No,No,"Yes, for the first time",No,1,3,Yes,,"Try out many different things in high school, not just things related to engineering",101L making a vehicle,dramatic
Male,Immigrants,Yes,Graduate,$100 - 150K,94,"Volunteer experience, Sports, Club Leader, Eng Job/Tech Internship",Private School,"University of Toronto, University of Guelph",Yes,Fully in-person,Full year,,80 - 84%,80 - 84%,70 - 74%,75 - 79%,80 - 84%,80 - 84%,95 - 99%,3,4,4,5,5,5,4,6,5,4,2,2,4,6,1 (None or Nearly None),6,2,2,6,6,1 (None or Nearly None),26 - 50%,26 - 50%,26 - 50%,No,Jason Foster,Matt Borland,1st Round,2nd Round,Would you move to Germany?,Software,Marketing,Yes,16.67,No,Yes,Yes,Yes,Yes,5,6,3,3,"Normal living arrangements, did online learning",4,1,9,,Yes,Yes,Yes,Yes,Yes,"Yes, done it before","Yes, done it before","Yes, done it before","Yes, done it before",No,No,0,5,Yes,Computer Science,Be sociable,101L Puzzle,Hectic
Female,Immigrants,Yes,Graduate,$50 - 100K,96.5,"Volunteer experience, Sports, Club, Club Leader, Non-Eng Job, Eng Job/Tech Internship",AP,"University of Toronto, Western University",Yes,Hybrid,Quadmesters,,85 - 89%,90 - 94%,90 - 94%,85 - 89%,95 - 99%,75 - 79%,95 - 99%,,,,,,,,,,,,,,,1 (None or Nearly None),1 (None or Nearly None),1 (None or Nearly None),7 (All or Nearly All),6,1 (None or Nearly None),3,0 - 25%,0 - 25%,0 - 25%,No,Sean Speziale,Matt Borland,2nd Round,2nd Round,,Software,Banking/Financial,Yes,23,Yes,,Yes,Yes,Yes,1,9,1,5,CMH,4,3,8,"Sports, Hangouts with Friends",Yes,Yes,No,Yes,Yes,"Yes, done it before","Yes, done it before",No,"Yes, done it before","Yes, for the first time",No,1,4,Yes,,"It?s just a program, it won?t make that much of a difference but it?s not a bad one:)",,Chaotic
Female,Immigrants,Yes,Graduate,$100 - 150K,94,"Volunteer experience, Sports, Performing/Visual Arts, Religious Activity, Club, Club Leader, Non-Eng Job",None,"McMaster University, University of Toronto",Yes,Hybrid,Semesters,,90 - 94%,85 - 89%,85 - 89%,80 - 84%,90 - 94%,80 - 84%,95 - 99%,3,5,7 (Very useful),5,3,5,6,7 (Very Easy),4,2,1 (Very Difficult),1 (Very Difficult),4,5,1 (None or Nearly None),6,6,3,2,6,2,51 - 75%,26 - 50%,51 - 75%,No,Ewen MacDonald,Christopher Nehaniv,1st Round,1st Round,Why do you want mentorship?,Software,Banking/Financial,No,28.25,No,Yes,Yes,Yes,Yes,5,8,0,7,UWP,7,5,0,"Sports, Clubs, Design Team, Hangouts with Friends",Yes,No,No,No,No,"Yes, done it before",No,No,No,"Yes, for the first time","Yes, for the first time",7,3,Yes,Mechatronics,"Any university degree is a marathon, not a sprint. Build up habits that support long term well being. ",3D Printing Assignment?,An Ordeal.
Female,Immigrants,Yes,Undergraduate,$100 - 150K,96,"Volunteer experience, Sports, Performing/Visual Arts, Religious Activity, Club, Club Leader, Non-Eng Job, Eng Job/Tech Internship",AP,"McMaster University, University of Toronto, Western University",Yes,Hybrid,Quadmesters,,90 - 94%,85 - 89%,<60%,65 - 69%,85 - 89%,80 - 84%,80 - 84%,4,5,5,3,4,4,3,6,4,5,1 (Very Difficult),3,2,4,4,7 (All or Nearly All),5,7 (All or Nearly All),6,4,5,76 - 100%,51 - 75%,51 - 75%,Yes,Ewen MacDonald,Jason Foster,2nd Round,Continuous,,Hardware,Manufactoring,Yes,,No,Yes,,,,6,6,0,5,"With Family/Relatives, in-person learning",4,7,1,"Syde Projects, Hangouts with Friends",Yes,No,No,No,No,No,No,No,No,No,No,,3,Yes,,Live on res,,
Female,Immigrants,Yes,Undergraduate,$200 - 250K,98,"Volunteer experience, Sports, Club Leader, Non-Eng Job, Eng Job/Tech Internship",None,McMaster University,Yes,Hybrid,Semesters,,,,,,,,,5,3,3,7 (Very useful),5,5,6,7 (Very Easy),4,3,2,4,4,7 (Very Easy),1 (None or Nearly None),7 (All or Nearly All),3,7 (All or Nearly All),7 (All or Nearly All),5,6,26 - 50%,26 - 50%,26 - 50%,No,Nasim Paryab,Matt Borland,1st Round,1st Round,What Personality are you,Software,Banking/Financial,Yes,,No,Yes,No,Yes,Yes,5,6,3,2,"With Family/Relatives, in-person learning",1,4,6,"Clubs, Hangouts with Friends",Yes,No,No,No,No,"Yes, done it before",No,No,No,No,No,0,4,Yes,,Code ,Onshape  vehicle ,Ok.
