"weight";"word";"color";"url"
"2";"Stressful";"";""
"2";"Scrambled";"";""
"2";"Rush";"";""
"2";"PoggyWoggy";"";""
"2";"People";"";""
"2";"Online";"";""
"2";"Pedantic";"";""
"2";"Movie";"";""
"2";"Mid";"";""
"2";"Marathon";"";""
"2";"Lit";"";""
"2";"Life-Changing";"";""
"2";"Learning Curve";"";""
"2";"Joyful";"";""
"2";"Interesting";"";""
"2";"Hell";"";""
"2";"Freedom";"";""
"2";"Free";"";""
"2";"Family";"";""
"2";"Funky";"";""
"2";"Eye-Opening";"";""
"2";"Exhaustion";"";""
"2";"Exciting";"";""
"2";"eh";"";""
"2";"Dramatic";"";""
"2";"Decent";"";""
"2";"Death";"";""
"2";"Collaborative";"";""
"2";"Lonely";"";""
"2";"Change";"";""
"2";"Busy";"";""
"2";"Based";"";""
"2";"Balanced";"";""
"2";"Ordeal";"";""
"2";"Alien";"";""
"2";"Alcohol";"";""
"2";"Adjustment";"";""
"2";"0/10";"";""
"2";"Tired";"";""
"2";"Unexpected";"";""
"2";"Stressful";"";""
"2";"Scrambled";"";""
"2";"Rush";"";""
"2";"PoggyWoggy";"";""
"2";"People";"";""
"2";"Online";"";""
"2";"Pedantic";"";""
"2";"Movie";"";""
"2";"Mid";"";""
"2";"Marathon";"";""
"2";"Lit";"";""
"2";"Life-Changing";"";""
"2";"Learning Curve";"";""
"2";"Joyful";"";""
"2";"Interesting";"";""
"2";"Hell";"";""
"2";"Freedom";"";""
"2";"Free";"";""
"2";"Family";"";""
"2";"Funky";"";""
"2";"Eye-Opening";"";""
"2";"Exhaustion";"";""
"2";"Exciting";"";""
"2";"eh";"";""
"2";"Dramatic";"";""
"2";"Decent";"";""
"2";"Death";"";""
"2";"Collaborative";"";""
"2";"Lonely";"";""
"2";"Change";"";""
"2";"Busy";"";""
"2";"Based";"";""
"2";"Balanced";"";""
"2";"Ordeal";"";""
"2";"Alien";"";""
"2";"Alcohol";"";""
"2";"Adjustment";"";""
"2";"0/10";"";""
"2";"Tired";"";""
"2";"Unexpected";"";""
"3";"Amazing";"";""
"3";"Fast";"";""
"3";"Hectic";"";""
"3";"Intense";"";""
"3";"Ok";"";""
"3";"Pain";"";""
"3";"Shit";"";""
"4";"Amazing";"";""
"4";"Fast";"";""
"4";"Hectic";"";""
"4";"Intense";"";""
"4";"Ok";"";""
"4";"Pain";"";""
"4";"Shit";"";""
"5";"Chaotic";"";""
"5";"Rollercoaster";"";""
"6";"Chaotic";"";""
"6";"Rollercoaster";"";""
"6";"New";"";""
"8";"New";"";""
"8";"Tstsians";"";""
"9";"Fun";"";""
"10";"Tstsians";"";""
"12";"Fun";"";""
"38";"SYDE '26 1A";"";""
"50";"SYDE '26 1A";"";""
